2014-05-15 09:38:58 you_young: Start autoRelist
2014-05-15 09:38:58 you_young: getting productStoreEbaySetting
2014-05-15 09:38:58 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 09:38:58 you_young: End autoRelist
2014-05-15 09:42:56 you_young: Start autoRelist
2014-05-15 09:42:56 you_young: getting productStoreEbaySetting
2014-05-15 09:42:56 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 09:42:56 you_young: End autoRelist
2014-05-15 09:44:47 you_young: Start autoRelist
2014-05-15 09:44:47 you_young: getting productStoreEbaySetting
2014-05-15 09:44:47 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 09:44:47 you_young: End autoRelist
2014-05-15 09:59:52 you_young: Start autoRelist
2014-05-15 09:59:52 you_young: getting productStoreEbaySetting
2014-05-15 09:59:52 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 09:59:52 you_young: End autoRelist
2014-05-15 10:02:15 you_young: Start autoRelist
2014-05-15 10:02:15 you_young: getting productStoreEbaySetting
2014-05-15 10:02:15 you_young: smartRelist from productStoreEbaySetting is true
2014-05-15 10:02:15 you_young: End autoRelist
2014-05-16 03:31:28 you_young: Start autoRelist
2014-05-16 03:31:28 you_young: getting productStoreEbaySetting
2014-05-16 03:31:28 you_young: smartRelist from productStoreEbaySetting is true
2014-05-16 03:31:28 you_young: itemId 221330433849, qtySold 2
2014-05-16 03:31:28 you_young: itemId 321266965204, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266965224, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321266965293, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330434087, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221330434110, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266965458, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330434177, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266965632, qtySold 11
2014-05-16 03:31:28 you_young: itemId 321266965658, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330434302, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330434327, qtySold 31
2014-05-16 03:31:28 you_young: itemId 221330434374, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330434392, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266965775, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330434436, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330434472, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321266965908, qtySold 4
2014-05-16 03:31:28 you_young: itemId 221330434557, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330434571, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330434608, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266965990, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330434651, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321266966098, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330434749, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266966161, qtySold 2
2014-05-16 03:31:28 you_young: itemId 321266966210, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266966232, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330434839, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266966333, qtySold 2
2014-05-16 03:31:28 you_young: itemId 321266966369, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330434919, qtySold 4
2014-05-16 03:31:28 you_young: itemId 321266966417, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330434954, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330435010, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330435120, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221330435146, qtySold 2
2014-05-16 03:31:28 you_young: itemId 321266966690, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330435213, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266966731, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266966833, qtySold 4
2014-05-16 03:31:28 you_young: itemId 321266966884, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321266966903, qtySold 3
2014-05-16 03:31:28 you_young: itemId 321266967002, qtySold 10
2014-05-16 03:31:28 you_young: itemId 321266967032, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330435546, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266967164, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266967190, qtySold 8
2014-05-16 03:31:28 you_young: itemId 221330435695, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330435750, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330435784, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330435806, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330435827, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330435922, qtySold 5
2014-05-16 03:31:28 you_young: itemId 221330435973, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221330435975, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330435976, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266967653, qtySold 7
2014-05-16 03:31:28 you_young: itemId 221330436289, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330436307, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221330436343, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266968657, qtySold 4
2014-05-16 03:31:28 you_young: itemId 321266968690, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266968704, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330436617, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330436706, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266969168, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330436777, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321266969220, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266969242, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330436867, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266969331, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266969351, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330436954, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330437031, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330437122, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330437164, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266969652, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330437204, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266969689, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321266969756, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266969809, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266969845, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266970051, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221330437587, qtySold 5
2014-05-16 03:31:28 you_young: itemId 321266970194, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330437642, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330437673, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266970266, qtySold 3
2014-05-16 03:31:28 you_young: itemId 321266970294, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221330437709, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330437954, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321266970535, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330437987, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221330438024, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330438040, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330438068, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321341390980, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221386923152, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221330445106, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321267265558, qtySold 66
2014-05-16 03:31:28 you_young: itemId 221330679798, qtySold 4
2014-05-16 03:31:28 you_young: itemId 221348070372, qtySold 2
2014-05-16 03:31:28 you_young: itemId 321290384130, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221348070371, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321267691682, qtySold 3
2014-05-16 03:31:28 you_young: itemId 321267691683, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221331019394, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221331025022, qtySold 6
2014-05-16 03:31:28 you_young: itemId 221331025033, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221331031116, qtySold 5
2014-05-16 03:31:28 you_young: itemId 321267705215, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321267710346, qtySold 3
2014-05-16 03:31:28 you_young: itemId 321267718794, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221331042808, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321267740661, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321267749426, qtySold 3
2014-05-16 03:31:28 you_young: itemId 321267759784, qtySold 12
2014-05-16 03:31:28 you_young: itemId 221331072364, qtySold 19
2014-05-16 03:31:28 you_young: itemId 221387560828, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221387560829, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321342356930, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221331078891, qtySold 35
2014-05-16 03:31:28 you_young: itemId 321342379698, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321267803914, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221331113235, qtySold 2
2014-05-16 03:31:28 you_young: itemId 321267851657, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221331217103, qtySold 21
2014-05-16 03:31:28 you_young: itemId 321268030083, qtySold 3
2014-05-16 03:31:28 you_young: itemId 221387753290, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321342612067, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221331623738, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321268510935, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221331623741, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321268510937, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321268545497, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321268545499, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221331651585, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221388166030, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221388168040, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221388177245, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321343316463, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221388365629, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321343530361, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321343530362, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321344037712, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321344064715, qtySold 3
2014-05-16 03:31:28 you_young: itemId 221388770542, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221332205863, qtySold 11
2014-05-16 03:31:28 you_young: itemId 221349636248, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221332218590, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221388812862, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321344194903, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321344231329, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221388853457, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221388866305, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221350155881, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321292987272, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321292987275, qtySold 7
2014-05-16 03:31:28 you_young: itemId 221350188835, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321293027430, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221350191500, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321293029337, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321293030713, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221389370713, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221350221891, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221350232463, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221333334645, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321293662237, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321293672912, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221333692685, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321270958497, qtySold 11
2014-05-16 03:31:28 you_young: itemId 321270958499, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321293733987, qtySold 15
2014-05-16 03:31:28 you_young: itemId 221333716204, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321270986038, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221333717738, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321270987569, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321270993525, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221333733718, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221350803272, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321293919007, qtySold 3
2014-05-16 03:31:28 you_young: itemId 221350904290, qtySold 9
2014-05-16 03:31:28 you_young: itemId 221350905931, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321293930488, qtySold 5
2014-05-16 03:31:28 you_young: itemId 321293939397, qtySold 4
2014-05-16 03:31:28 you_young: itemId 221351236102, qtySold 7
2014-05-16 03:31:28 you_young: itemId 221351236107, qtySold 84
2014-05-16 03:31:28 you_young: itemId 221370071938, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321318114380, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221370071939, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321271733762, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221351280943, qtySold 6
2014-05-16 03:31:28 you_young: itemId 221334334755, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221334345229, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321318260916, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221370415807, qtySold 5
2014-05-16 03:31:28 you_young: itemId 221370419138, qtySold 5
2014-05-16 03:31:28 you_young: itemId 321318570202, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221370442639, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321318576157, qtySold 3
2014-05-16 03:31:28 you_young: itemId 221370445521, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221370447430, qtySold 5
2014-05-16 03:31:28 you_young: itemId 321272225880, qtySold 4
2014-05-16 03:31:28 you_young: itemId 221351615013, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321295028448, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321347658564, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221391420280, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221391422348, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221391422353, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221391422356, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321347661350, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321272462940, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321272462941, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221391443701, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321295071008, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221370773599, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221370773606, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321319030728, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221351805544, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321295085420, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221351814617, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321272488273, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221351816495, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321295097016, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221391496829, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221391506698, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321347805853, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321347831048, qtySold 1
2014-05-16 03:31:28 you_young: itemId 321348098242, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321348098249, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321348098255, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221371434591, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321348604255, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221392077950, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321348604257, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321348604258, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221392083006, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221392083009, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321348615910, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221335385414, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221335385415, qtySold 1
2014-05-16 03:31:28 you_young: itemId 221335385416, qtySold 2
2014-05-16 03:31:28 you_young: itemId 321348632164, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221352282758, qtySold 83
2014-05-16 03:31:28 you_young: itemId 321295699538, qtySold 188
2014-05-16 03:31:28 you_young: itemId 321295699542, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221392107529, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221335412106, qtySold 2
2014-05-16 03:31:28 you_young: itemId 221335419459, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221392150784, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221392462722, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221392462725, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221392462726, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321349171599, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321320716013, qtySold 0
2014-05-16 03:31:28 you_young: itemId 321320722033, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221392692257, qtySold 0
2014-05-16 03:31:28 you_young: itemId 221392692258, qtySold 0
